Name of the college,District
Adhiyaman Arts and Science College for Women,Krishnagiri
Adhunik Institute of Education & Research,Ghaziabad
Adhyapak Mahavidyalaya,Pune
Adhyapak Shiksha Mandal's C.H.C. Arts S.G. Patel Commerce & Babaji B.J. Patel Science College,Nandurbar
Adichunchanagiri Institute of Technology,
Adikari Saraldass College,Cuttack
Adishakati Dhandai Mata Shikshan Prasarak Sanstha’s Late Annasaheb R.D. Deore Arts & Science College,Dhule
Aditanar College of Arts & Science,
Adithya Institute of Technology,Coimbatore
Aditi Mahavidyalaya,
Aditya College of Architecture,Mumbai
Aditya College of Engineering & Technology,East Godavari
Aditya College of Engineering,,Chittoor
Aditya College of Engineering,East Godavari
Aditya College of Law,Agra
Aditya College of Pharmacy,East Godavari
Aditya Degree & PG College,Vizianagaram
Aditya Degree College for Women,
Aditya Degree College for Women, Road No. 5,
Aditya Degree College,
Aditya Degree College,,
Aditya Degree College,,Visakhapatnam
Aditya Degree College,Rajamundry
Aditya Degree College,Visakhapatnam
Aditya Degree College,West Godavari
Aditya Engineering College,East Godavari
Aditya Institute of Management Studies and Research,Mumbai
Aditya Institute of Management, Science and Research,
Aditya Institute of Technology and Management,Srikakulam
Aditya Narayan College,Dumka
Aditya Pharmacy College,East Godavari
Adivasi Arts & Commerce College,Panch Mahals
Adivasi Arts and Commerce College,Sabar Kantha
Adivasi College,Kandhamal
Adivasi Pragati Mandal Sanchalit Comrade Godavari Shamrao Parulekar College of Arts, Commerce and Science,Thane
Adrash College,Sangli
Adusumilli Gopalakrishnaiah & Sugarcabe Growers Siddhartha Degree College of Arts & Science,Krishna
Adv. Sitaram (Babanbhai) Anandramji Baheti Arts, Commerce & Science College,Jalgaon
Advance Computer College,Osmanabad
Advance Institute of Management,Ghaziabad
Advocate Ramkrishnaji Rathi Law College,Washim
Adwaita Mission Training College,Banka
AEC Training College and Centre,Hoshangabad
Aeronautics College,Soraput
Afzal Mashkabee Taher Anasari Government First Grade College,
Afzalgarh Mahavidyalaya,Bijnor
Agalpur Panchayat Samiti College,Balangir
Agarapara College,Bhadrak
Agasti Arts, Commerce and Dadasaheb Rupwate Science College,
Aggarawal Girls Mahavidyalaya,Sawai Madhopur
Aggarwal College,Faridabad
Aghore Kamini Prakash Chandra Mahavidyalaya,Hugli
Agni College of Technology Thalambur Village,
Agni College of Technology,Chennai
Agra College,Agra
Agra Vanasthali Mahavidyalya,Agra
Agrasen Mahavidyalaya,Raipur
Agrasen Post Graduate College,Bulandshahr
Agrawal College,Jaipur
Agurchand Manmull Jain College,Chennai
Ahalia School of Optometry and Research Centre,,Palakkad
Ahir College,
Ahmedabad Arts and Commerce College,Ahmadabad
Ahmedabad Commerce (G.B. Shah Commerce) College,Ahmadabad
Ahmedabad Homoeopathic Medical College,Ahmadabad
Ahmedabad Physiotherapy College,Ahmadabad
Ahmednagar College,
Ahmednagar Zilla Maratha Vidya Prasarak Samaj's New Arts, Commerce & Science College,
AIMAN COLLEGE OF ARTS AND SCIENCE FOR WOMEN,Tiruchirappalli
Aishwarya College of Education Sansthan,Udaipur
Aishwarya College of Education,Jodhpur
Aizawl Government College,Aizawl
Aizawl North College,Aizawl
Ajab Narayan Harish Chandra Smarak Mahavidyalaya,Pratapgarh
Ajara Mahavidyalaya,Kolhapur
Ajay Binay Institute of Technology,Cuttack
Ajay Pal Singh Degree College,,Hardoi
Ajmer Sangeet College,Ajmer
Akal College of Education for Women,
Akal Degree College For Women,Sangrur
Akal Degree College,Sangrur
Akarapu Sharath Chandrika Devi Memorial College for Women,Warangal
Akashdeep Teachers Tarining Girls College,Jaipur
Akbar Peerbhoy College of Commerce & Economics,Mumbai
Akbarpur Degree College,Kanpur Dehat
AKG College,Lucknow
Akhand Anand Arts and Commerce College,Surat
Akhil Bhartiya Sanskrit Hindi Vidyapeeth,Begusarai
Akhilbhagya Degree College,Gorakhpur
Akhtari Qureshi Girls Degree College,Bijnor
Akkamahadevi Mahila Mahavidyalaya,Bidar
AKLR Govt. Oriental College,Hyderabad
Akshara Institute of Management Studies,
Akshay Academy College,Indore
Akshaya College of Engineering and Technology,Coimbatore
Akshyawat College,Vaishali
Akui Kamalabala Women’s College,Bankura
Al Hafeez College,Bhojpur
Al Jamia Arts and Science College,Malappuram
Al Salama Institute of Architecture Dist. Malappuram - 679 338,Malappuram
Al Shifa College of Arts and Science,Malappuram
Al- Shifa College of Pharmacy,Malappuram
Al-Ameen Arts, Science & Commerce College,Bangalore
Al-Ameen College of Education,Bangalore
Al-Ameen College of Law,Bangalore
Al-Ameen College of Pharmacy,Bangalore
Al-Ameen College,
Al-Ameen Engineering College,Erode
Al-Ameen Institute of Information Sciences,Bangalore
Al-Ameen Institute of Management Studies,Bangalore
Al-Ameen Memorial Minority College,Kolkata
Al-Ameen Tippu Sultan Shaheed Degree College,Bangalore
Al-Azhar College of Arts and Science,Idukki
Al-Azhar College of Pharmacy,Idukki
Al-Azhar Dental College,Idukki
Al-Azhar Law College,
Al-Azhar Medical College, & Super Specialty Hospital,
Al-Azhar Training College,Idukki
Al-Barkaat Institute of Education,Aligarh
Al-Habeeb Teacher’s Training College,Bokaro
Al-Iqra Teacher’s Training College,Dhanbad
Al-Noor College of Education,Kashmir
Al-Shifa College of Nursing,  Lemon Valley,Malappuram
Al-Shifa College of Paramedical Science,Malappuram
Alagappa Chettiar College of Engineering and Technology,
Alagappa Government Arts College,Sivagangai
Alagappa University College of Education,Pasumpon Thevar Thirumagan
Alaka Mahavidyalaya,Jagatsinghapur
Alankar Mahila P.G. Mahavidyalaya,Jaipur
Albertian Institute of Science and Technology (AISAT),
Aldel Education Trust’s St. John College of Engineering and Management,Palghar
Aldel Education Trust’s St. John College of Humanities & Science, St. John Technical and Educational Campus,,Palghar
Aldel Education Trust’s St. John Institute of Pharmacy and Research,Palghar
Alder College,Kohima
Alena Mahavidyalaya,Sultanpur
Alhaz Sunai Bibi Choudhury College,Nagaon
Aligarh College of Education,Aligarh
Aligarh College of Engineering & Management,Aligarh
Aligarh Muslim University,Aligarh
Alipurduar College,Jalpaiguri
Alipurduar Mahila Mahavidyalaya,
All Ameen Haji Dada First Grade College of Arts, Science & Commerce,Hassan
All Bengal Teachers' Training College,Kolkata
All India Institute of Medical Sciences, Bathinda
All India Institute of Medical Sciences, Bathinda,Bathinda
All India Institute of Medical Sciences, Bhopal
All India Institute of Medical Sciences, Bhopal,Bhopal
All India Institute of Medical Sciences, Bhubaneswar
All India Institute of Medical Sciences, Bhubaneswar,Bhubaneswar
All India Institute of Medical Sciences, Bibinagar
All India Institute of Medical Sciences, Bibinagar,Bibinagar
All India Institute of Medical Sciences, Deoghar
All India Institute of Medical Sciences, Deoghar,Deoghar
All India Institute of Medical Sciences, Gorakhpur
All India Institute of Medical Sciences, Gorakhpur,Gorakhpur
All India Institute of Medical Sciences, Jodhpur
All India Institute of Medical Sciences, Jodhpur,Jodhpur
All India Institute of Medical Sciences, Kalyani
All India Institute of Medical Sciences, Kalyani,Kalyani
All India Institute of Medical Sciences, Mangalagiri
All India Institute of Medical Sciences, Mangalagiri,Mangalagiri
All India Institute of Medical Sciences, Nagpur
All India Institute of Medical Sciences, Nagpur,Nagpur
All India Institute of Medical Sciences, New Delhi
All India Institute of Medical Sciences, New Delhi,New Delhi
All India Institute of Medical Sciences, Patna
All India Institute of Medical Sciences, Patna,Patna
All India Institute of Medical Sciences, Raebareli
All India Institute of Medical Sciences, Raebareli,Raebareli
All India Institute of Medical Sciences, Raipur
All India Institute of Medical Sciences, Raipur,Raipur
All India Institute of Medical Sciences, Rishikesh
All India Institute of Medical Sciences, Rishikesh,Rishikesh
All India Institute of Speech & Hearing,Mysore
All India Shri Shivaji Memorial Society’s College of Engineering,Pune
All India Shri Shivaji Memorial Society’s College of Hotel Management and Catering Technology,Pune
All India Shri Shivaji Memorial Society’s College of Pharmacy,Pune
All India Shri Shivaji Memorial Society’s Institute of Information Technology,Pune
All Saints College,Thiruvananthapuram
All-India Khilafat Committee College of Education,Mumbai
Allahabad Degree College,Allahabad
Allama Iqbal College,Nalanda
Almadina College of Education,Mahbubnagar
Almighty Degree College,
Alok Vigyan Mahavidyalaya,Ajmer
Alpha Arts and Science College,Chennai
Alphonsa Arts and Science College,Wayanad
Alphonsa College,Kottayam
Alpine College of Education,
Alva’s College,
Alva’s Institute of Engineering and Technology,Dakshina Kannada
Alvi Girls Degree College,
Amal College of Advanced Studies,Malappuram
Amal Jyothi College of Engineering,Kottayam
Amar Bhartiya Mahavidyalaya,Gwalior
Amar Nath Girls Degree College,Mathura
Amar Shaheed B.A.S.J.S. Memorial College,Rupnagar
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy,ropar
Amar Shaheed Kanchan Singh Mahavidyalaya,Fatehpur
Amar Shaheed Thakur Duriyav Singh Degree College,Fatehpur
Amar Shahid Rao Ram Baksh Singh Degree College,Unnao
Amar Singh College,Bulandshahr
Amar Singh Mahavidyalaya,Rae Bareli
Amar Singh Memorial Degree Collge,
Amar Singh Rajpoot Memorial Mahavidyalaya,Hamirpur
Amar Veerangana Rani Durgawati  Shaskiya Mahavidyalaya,Damoh
Amarawati Devi Mahavidhyalay,Gorakhpur
Amardeep College,Firozabad
Amardeep Singh Shergil Memorial College,Jalandhar
Amareshwar Arts & Commerce College,Bidar
Amarjeet Singh Shiksha Smarak Mahila Mahavidyalaya,Mau
Amarnath Mishra P.G. College,Ballia
Amaryuti Satsang College,Deoghar
Amba K.P.S.B.P. College of Education,Sant Kabir Nagar
Ambah Postgraduate College,Morena
Ambai Arts College,Tirunelveli
Ambay College of Law,Ghaziabad
Ambay Girls Degree College,
Ambedkar College of Arts & Science,Malappuram
Ambedkar College,North Tripura
Ambedkar Degree College,Meerut
Ambegaon Taluka Vidya Vikas Mandal’s B. D. Kale Mahavidyalaya,,Pune
Ambika Prasad Degree College,Chandauli
Ambika Pratap Narain Post - Graduat College,Basti
Ambika Ram Devi Degree College,
Ambikabai Jadhav Mahila Mahavidyalaya,Thane
Ambli Dodda Bharmappa First Grade College,Bellary
AMC Engineering College,Bangalore
AMC Group of Educational Institutions,,Palakkad
Amdanga Jugal Kishore Mahavidyalaya,North Twenty Four Parganas
Amdar Shashikant Shinde Mahavidyalaya,Satara
Amer Maharaja College,Jaipur
Amguri College,Sivaganga
Amir Hasan Sakur Ahmed College,Madhubani
Amiruddaula Islamia Degree College,Lucknow
Amit Mahavidyalaya,Kushinagar
Amman College of Arts & Science,Dindigul
Amogha Institute of Professional and Technical Education,Ghaziabad
Amolakchand Mahavidyalaya,Yavatmal
Amolakchand Vidhi Mahavidyalaya,Yavatmal
Amrat Kapadia Navjivan Women's College,Hyderabad
Amrawati Devi Degree College,Pratapgarh
Amridula Islamia Degree College,Lucknow
Amrit Ganga Degree College,Allahabad
Amrit Lal Mahavidyalaya,Mahrajganj
Amrita Sai Institute of Science & Technology,Krishna
Amrita Singh Memorial Degree College,Aligarh
Amritsar Group of Colleges,Amritsar
Amruta Institute of Engineering & Management Sciences,
Amruteshwar Arts, Commerce & Science College,Pune
Amrutvahini Sheti and Shikshan Vikas Sansthan’s Amrutvahini College of Engineering,Pune
Amtunna Bano Mahila Mahavidyalaya,Kannauj
Anand Arts College,Anand
Anand Chandra College of Commerce,Jalpaiguri
Anand College of Education,Agra
Anand Commerce College,Anand
Anand Degree College,
Anand Education College,Anand
Anand Homowopathic Medical College and Research Institute,Anand
Anand Institute of Higher Technology,Kancheepuram
Anand Law College,Anand
Anand Mahila Mahavidyalaya,Azamgarh
Anand Mercantile College of Science, Management & Computer Technology,Anand
Anand Niketan College of Agriculture,Chandrapur
Anand Niketan College,Chandrapur
Anand Pharmacy College,Anand
Anand Vihar College for Women,Bhopal
Ananda Chandra College,Jalpaiguri
Ananda Chandra Training College,Jalpaiguri
Ananda College,Sivagangai
Anandamohan College,Kolkata
Anandapur College,
Anandi Devi Institute of Higher Education,Hatras
Anandi Janki Mahila Mahavidyalaya,Purnia
Anandras Dhonde Alias Babaji Mahavidyalaya,Bid
Anantha Lakshmi Institute of Technology and Sciences,
Anantha Lakshmi Institute of Technology and Sciences,Anantapur
Ananthacharya Indological Research Institute,Mumbai
Anantrao Pawar College,Pune
Anantrao Thopte Arts, Science & Commerce College,Pune
Anchal College,Bargarh
Anchalik Kishan College,Bargarh
Anchalik Sahayog Degree College,
Anchalika Degree College,Ganjam
Anchalika Degree Mahavidyalaya,Dhenkanal
Anchalika Degree Mahavidyalaya,Ganjam
Anchalika Degree Mahavidyalaya,Mayurbhanj
Anchalika Mahavidyalaya,
Anchalika Mahavidyalaya,Mayurbhanj
Anchalika Mahavidyalaya+3,
Anchalika Panchayat College,Jaipur
Anchalika Science Degree College,Ganjam
Andhra Bashabhi Vardhini Govt. College,Warangal
Andhra Christian College,Guntur
Andhra Loyola College,Krishna
Andhra Loyola Institute of Engineering and Technology,Vijayawada
Andhra Luthern College for Education,Guntur
Andhra Mahila Sabha School of Informatics,Hyderabad
Andhra Medical College,Visakhapatnam
Andhra Muslim College,Guntur
Andhra Vidyahi Vardhani Degree & P.G. College,Warangal
Andhra Women's Sanskrit College,Visakhapatnam
Angappa College of Arts & Science,Coimbatore
Angel Charities, Fr. C. Rodrigues Institute of Technology,,Mumbai
Angel College of Engineering and Technology,Tiruppur
Angoori Devi College of Law Education,Bulandshahr
Angppa College of Arts & Science,Coimbatore
Angul Mahila Mahavidyalaya,
Aniket College of Social Work,Wardha
Anil Neerukonda Institute of Technology & Sciences,Visakhapatnam
Anitha Venkateswara Rao College of Education,Guntur
Anjali Institute of Management and Science,Agra
Anjani Girdhari Adarsh Mahavidyalaya,
Anju Priyanka Degree College,
Anjum Mahila Mahavidyalaya,,Kushinagar
Anjuman Arts, Science & Commerce College,
Anjuman Arts, Science & Commerce College,Bijapur
Anjuman Arts, Science and Commerce College,Dharwad
Anjuman B.Ed College,Kheda
Anjuman College of Arts and Commerce,Belgaum
Anjuman Education Trust B.Ed College,Kheda
Anjuman Education Trust M.Ed. College,Kheda
Anjuman Imadaut Tulba's Arts, Commerce & Science  Night College,Nashik
Anjuman-E-Islam's Nehru Arts, Science and commerce College,Dharwad
Anjuman-I-Islam’s Kaleskar Technical Campus, School of Engineering & Technology,
Anjuman-I-Islam’s Kaleskar Technical Campus, School of Pharmacy,
Anna Adarsh College for Women Shanthi Colony,Chennai
Annada College,Hazaribagh
Annai College of Arts & Science,
Annai Fathima College of Arts and Science,Madurai
Annai Mathammal Sheela Engineering College,Namakkal
Annai Vailankanni Arts & Science College,Thanjavur
Annai Vailankanni College of Engineering,
Annai Velankanni College,
Annamacharya College of Pharmacy,Y.S.R.
Annamacharya Institute of Technology & Science,
Annamacharya Institute of Technology & Sciences,Chittoor
Annamacharya Institute of Technology & Sciences,Y.S.R.
Annamacharya Institute of Technology and Sciences,
Annamacharya PG College of Computer Studies.,
Annammal College of Education for Women,
Annapoorana Engineering College,Salem
Annapurnadevi Vidya Prasarak Sanstha Sanchalit, Late. Annasaheb Pitambar Shankar Wadile Arts College,Dhule
Annasaheb Dange College of B Pharmacy,Sangli
Annasaheb Dange College of Engineering & Technology,Sangli
Annasaheb Gundewar College,Nagaon
Annasaheb Magar Mahavidyalaya,Pune
Annasaheb Vartak College of Arts & Kedarnath Malhotra College of Commerce & E.S. Andrades College of Science,Thane
Annasaheb Waghire Arts, Science and Commerce College,Pune
Annavaram Satyavati Devi  Govt. College for Women,East Godavari
Anooplal Yadav Mahavidyalaya,Supaul
Ansal Institute of Technology,Gurgaon
Ansar Arabic College,Malappuram
Antyoday Mahavidyalaya, Devgram,Nagpur
Anubis Degree College,Bareilly
Anubose Institute of Technology,Khammam
Anupama Rai Memorial College of Education,
Anuradha Engineering College,Buldana
Anurag College of Pharmacy,Nagpur
Anurag Engineering College,Nalgonda
Anurag Group of Institutions,Rangareddy
Anushri Mahavidyalaya,
Anvarul Islam Arabic College,Malappuram
Anvarul Islam Women’s Arabic College,Malappuram
Anwar - Ul - Uloom College (Afternoon) of Arts & Commerce,Hyderabad
Anwar-Ul-Uloom College of Business Management,Hyderabad
Anwarul-Uloom College,Hyderabad
AP.S.M. College,Begusarai
Apeejay College of Fine Arts,Jalandhar
Apeejay Institute of Management & Engineering Technical Campus.,Jalandhar
Apeejay Sareswati College for Girls,Bhiwani
Apex College,Nagaur
Apital Law College,
Apollo College, Opp. Veterinary College,Durg
Appasaheb Birnale College of Pharmacy,Sangli
Appasaheb Ragunathrao Bhaurao  Garud Arts, Commerce  & Science College,Jalgaon
Appaswami Mahavidyalaya,Washim
Apsam College of Education,Bhojpur
Aqsa Women’s Degree College,Thane
Aquinas College,
Arambagh Girls’ College,Hugli
Araria College,Araria
Arasu Engineering College,Thanjavur
Aravali P.G. College,,Sikar
Archana Girls Degree College,
Arcot Sri Mahaalakshmi Women’s College,
Arignal Anna Government Arts College,Viluppuram
Arignar Anna College,Kanniyakumari
Arignar Anna Government Arts & Science College,Karaikal
Arignar Anna Government Arts College for Men,Namakkal
Arignar Anna Government Arts College for Women,Vellore
Arignar Anna Government Arts College,Salem
Arignar Anna Government Arts College,Tiruchirappalli
Arignar Anna Government Arts College,Tiruvannamalai
Arihant Charitable Trust’s Arihant Charitable Minority B.S.W College,
Arihant College,Indore
Aristotle P.G. College,Rangareddy
Arjan Dass College,Firozpur
Arjun College of Technology & Sciences,Hyderabad
Arjun College of Technology,Coimbatore
Arjun Girls Degree College,Mau
Arjun Prasad Mahila Mahavidyalaya,Ambedkar Nagar
Arjun Singh Mahavidyalaya,Varanasi
Arjunganj Vidhya Mandir Degree College,Lucknow
Armapore Degree (PG) College,Kanpur Nagar
Armed Forces Medical College,Pune
Army Institute o Education,Gautam Buddha Nagar
Army Institute of Technology (AIT),Pune
Aronai College,Kokrajhar
Arpit Girls Degree College,
Arputha College of Arts and Science,Pudukkottai
Arts & Commerce College,
Arts & Commerce College,Buldana
Arts & Commerce College,Chandrapur
Arts & Commerce College,Chhindwara
Arts & Commerce College,Jalgaon
Arts & Commerce College,Pune
Arts & Commerce College,Sangli
Arts & Commerce College,Satara
Arts & Commerce College,Surat
Arts & Commerce Degree College,Bhandara
Arts & Commerce Girls Mahavidyalaya,Raipur
Arts & Science College for Women,
Arts & Science College,
Arts and Commerce College,
Arts and Commerce College,Amravati
Arts and Commerce College,Nashik
Arts and Commerce College,Pune
Arts and Commerce College,Sangli
Arts and Commerce College,Satara
Arts and Commerce College,Yavatmal
Arts and Commerce Mahila Mahavidyalaya,Bid
Arts and Science College,Amravati
Arts and Science College,Bid
Arts and Science Mahila Mahavidyalaya,Budaun
Arts College fo Education,
Arts College,
Arts College,Buldana
Arts College,Panch Mahals
Arts College,Sabar Kantha
Arts Degree College,Rewa
Arts, Comm. & Science College,Nanded
Arts, Commerce & Science College,
Arts, Commerce & Science College,Amravati
Arts, Commerce & Science College,Jalgaon
Arts, Commerce & Science College,Nanded
Arts, Commerce & Science College,Nashik
Arts, Commerce & Science College,Wardha
Arts, Commerce & Science College,Yavatmal
