Name of the college,District,State
Abul Kalam Azad Mahavidyalaya,Gonda,Uttar Pradesh
Abul Kalam Minority Teachers Training College,West Champaran,Bihar
Academy of Business Administration,,Odisha
Accurate Institute of Management & Technology,,Uttar Pradesh
ACE Engineering College,Rangareddy,Telangana
Ace Institute of Management & Technology,Budaun,Uttar Pradesh
Acharatlal Girdhar Lal Teachers College,Ahmadabad,Gujarat
Acharaya Chankya Mahavidyalaya,Sultanpur,Uttar Pradesh
Achariya Arts and Science College,,Puducherry
Achariya College of Engineering Technology,,Andhra Pradesh
Acharya & BM Reddy College of Pharmacy,Bangalore,Karnataka
Acharya B.N. Seal College,,West Bengal
Acharya Baldev College,Jaunpur,Uttar Pradesh
Acharya Bangalore B-School,Bangalore,Karnataka
Acharya College of Education,Bangalore,Karnataka
Acharya First Grade College for Women,Kolar,Karnataka
Acharya Girish Chandra Bose College,Kolkata,West Bengal
Acharya Institute of Graduate Studies,Bangalore,Karnataka
Acharya Institute of Management and Sciences,,Karnataka
Acharya Institute of Technology,Bangalore,Karnataka
Acharya Jagadish Chandra Bose College,Kolkata,West Bengal
Acharya Naendra Deo Kisan Degree College,Gonda,Uttar Pradesh
Acharya Narayana College,Sultanpur,Uttar Pradesh
Acharya Narendra Deo Nagar Nigam Girls Degree (PG) College,Kanpur Nagar,Uttar Pradesh
Acharya Narendra Dev College,New Delhi,Delhi
Acharya Pathasala College of Arts & Science,Bangalore,Karnataka
Acharya Pathashala College of Commerce,Bangalore,Karnataka
Acharya Pathashala Evening College of Arts & Commerce,Bangalore,Karnataka
Acharya Prafulla Chandra College,North Twenty Four Parganas,West Bengal
Acharya Prafulla Chandra Roy Government College,Darjiling,West Bengal
Acharya Sukumar Sen Mahavidyalaya,,West Bengal
Acharya Tara Chand Shastri Mahvidhyalaya,Agra,Uttar Pradesh
Acharya Triveni Das Balika Mahavidyalay,Ghazipur,Uttar Pradesh
Acharya Tulsi National College of Commerce,Shimoga,Karnataka
Acharya Vinoba Bhave Degree College,Sultanpur,Uttar Pradesh
Acharya’s NRV School of Architecture,Bangalore,Karnataka
Achhruram Memorial College,Puruliya,West Bengal
Achyarya Jawadekar Shikshan Shastra Mahavidyalaya,Kolhapur,Maharashtra
ACME College of Engineering,Ghaziabad,Uttar Pradesh
Acme Institute of Management & Technology,Agra,Uttar Pradesh
ACS College of Engineering,Bangalore,Karnataka
Adaikalamatha College,Thanjavur,Tamil Nadu
Adarash College,Giridih,Jharkhand
Adarsh Arts and Commerce College,Gadchiroli,Maharashtra
Adarsh Bharti Mahavidyalaya,Jaunpur,Uttar Pradesh
Adarsh College of Education,Dewas,Uttar Pradesh
Adarsh College of Education,Jammu,Jammu and Kashmir
Adarsh College of Science Commerce & Arts,,Telangana
Adarsh Comprehensive College of Education & Research,Pune,Maharashtra
Adarsh Devkali Baba Smarak Mahavidyalaya,Azamgarh,Uttar Pradesh
Adarsh Hindi Mahavidyalaya Degree Colege,Nizamabad,Telangana
Adarsh Institute of Management & Science,Dhar,Madhya Pradesh
Adarsh Janta Mahavidyalaya,Kheri,Uttar Pradesh
Adarsh Janta Mahavidyalaya,Mirzapur,Uttar Pradesh
Adarsh Janta Mahavidyalaya,Etah,Uttar Pradesh
Adarsh Kanya Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Adarsh Krishan College of Education,Mainpuri,Uttar Pradesh
Adarsh Mahavidhyalaya,Jodhpur,Rajasthan
Adarsh Mahila Mahaviyalaya,Bhiwani,Haryana
Adarsh Nanhku Ram Mahavidyalay,Jaunpur,Uttar Pradesh
Adarsh Samaj Mahavidyalaya,Firozabad,Uttar Pradesh
Adarsh Sangit College,Sagar,Madhya Pradesh
Adarsh Satendra Mahavidyalaya,Lucknow,Uttar Pradesh
Adarsh Science J.B. Arts and Birla Commerce Mahavidyalaya,Amravati,Maharashtra
Adarsh Sewa Bhartiya Mahavidyalaya,Varanasi,Uttar Pradesh
Adarsh Shikshan Sanstha’s Kalikadevi Arts Commerce & Science College,Bid,Maharashtra
Adarsh Shri Basudeo Sanskrit Mahavidyalaya,Jaunpur,Uttar Pradesh
Adarsh Vidya Mandir College of Education Shiksha Mahavidyalaya,Jaipur,Rajasthan
Adarsh Vidya Prasarak Sanstha’s Adarsh College of Arts & Commerce,Thane,Maharashtra
Adarsh Vidya Vardhaka Sangha Shiv Parappasangappa Sajjan Art College,Bangalore,Karnataka
Adarsha Education Society's Arts Commerce and Science College,Parbhani,Maharashtra
Adarsha Shikshna Samiti's Commerce College,Gadag,Karnataka
Adharsh Vidhyalaya College of Arts & Science For Women,Erode,Tamil Nadu
Adharshila College of Education,Meerut,Uttar Pradesh
Adhi College of Engineering and Technology,Kancheepuram,Tamil Nadu
Adhi Yamaan College of Engineering,Hosur,Tamil Nadu
Adhiparasakthi College of Arts and Science,Vellore,Tamil Nadu
Adhiparasakthi College of Pharmacy,,Tamil Nadu
Adhiparasakthi Engineering College,Kancheepuram,Tamil Nadu
Adhiyamaan College of Engineering,Hosure,Tamil Nadu
Adhiyaman Arts and Science College for Women,Krishnagiri,Tamil Nadu
Adhunik Institute of Education & Research,Ghaziabad,Uttar Pradesh
Adhyapak Mahavidyalaya,Pune,Maharashtra
Adhyapak Shiksha Mandal's C.H.C. Arts S.G. Patel Commerce & Babaji B.J. Patel Science College,Nandurbar,Maharashtra
Adichunchanagiri Institute of Technology,,Karnataka
Adikari Saraldass College,Cuttack,Odisha
Adishakati Dhandai Mata Shikshan Prasarak Sanstha’s Late Annasaheb R.D. Deore Arts & Science College,Dhule,Maharashtra
Aditanar College of Arts & Science,,Tamil Nadu
Adithya Institute of Technology,Coimbatore,Tamil Nadu
Aditi Mahavidyalaya,,Delhi
Aditya College of Architecture,Mumbai,Maharashtra
Aditya College of Engineering,East Godavari,Andhra Pradesh
Aditya College of Engineering & Technology,East Godavari,Andhra Pradesh
Aditya College of Engineering,Chittoor,Andhra Pradesh
Aditya College of Law,Agra,Uttar Pradesh
Aditya College of Pharmacy,East Godavari,Andhra Pradesh
Aditya Degree & PG College,Vizianagaram,Andhra Pradesh
Aditya Degree College,West Godavari,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College,Rajamundry,Andhra Pradesh
Aditya Degree College,Visakhapatnam,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College,Visakhapatnam,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College for Women,,Andhra Pradesh
Aditya Degree College for Women Road No. 5,,Andhra Pradesh
Aditya Degree College,,Andhra Pradesh
Aditya Degree College,Visakhapatnam,Andhra Pradesh
Aditya Engineering College,East Godavari,Andhra Pradesh
Aditya Institute of Management Studies and Research,Mumbai,Maharashtra
Aditya Institute of Management Science and Research,,Puducherry
Aditya Institute of Technology and Management,Srikakulam,Andhra Pradesh
Aditya Narayan College,Dumka,Jharkhand
Aditya Pharmacy College,East Godavari,Andhra Pradesh
Adivasi Arts & Commerce College,Panch Mahals,Gujarat
Adivasi Arts and Commerce College,Sabar Kantha,Gujarat
Adivasi College,Kandhamal,Odisha
Adivasi Pragati Mandal Sanchalit Comrade Godavari Shamrao Parulekar College of Arts Commerce and Science,Thane,Maharashtra
Adrash College,Sangli,Maharashtra
Adusumilli Gopalakrishnaiah & Sugarcabe Growers Siddhartha Degree College of Arts & Science,Krishna,Andhra Pradesh
Adv. Sitaram (Babanbhai) Anandramji Baheti Arts Commerce & Science College,Jalgaon,Maharashtra
Advance Computer College,Osmanabad,Maharashtra
Advance Institute of Management,Ghaziabad,Uttar Pradesh
Advocate Ramkrishnaji Rathi Law College,Washim,Maharashtra
Adwaita Mission Training College,Banka,Bihar
AEC Training College and Centre,Hoshangabad,Madhya Pradesh
Aeronautics College,Soraput,Odisha
Afzal Mashkabee Taher Anasari Government First Grade College,,Karnataka
Afzalgarh Mahavidyalaya,Bijnor,Uttar Pradesh
Agalpur Panchayat Samiti College,Balangir,Odisha
Agarapara College,Bhadrak,Odisha
Agasti Arts Commerce and Dadasaheb Rupwate Science College,,Maharashtra
Aggarawal Girls Mahavidyalaya,Sawai Madhopur,Rajasthan
Aggarwal College,Faridabad,Haryana
Aghore Kamini Prakash Chandra Mahavidyalaya,Hugli,West Bengal
Agni College of Technology Thalambur Village,,Tamil Nadu
Agni College of Technology,Chennai,Tamil Nadu
Agra College,Agra,Uttar Pradesh
Agra Vanasthali Mahavidyalya,Agra,Uttar Pradesh
Agrasen Mahavidyalaya,Raipur,Chhattisgarh
Agrasen Post Graduate College,Bulandshahr,Uttar Pradesh
Agrawal College,Jaipur,Rajasthan
Agurchand Manmull Jain College,Chennai,Tamil Nadu
Ahalia School of Optometry and Research Centre,Palakkad,Kerala
Ahir College,,Haryana
Ahmedabad Arts and Commerce College,Ahmadabad,Gujarat
Ahmedabad Commerce (G.B. Shah Commerce) College,Ahmadabad,Gujarat
Ahmedabad Homoeopathic Medical College,Ahmadabad,Gujarat
Ahmedabad Physiotherapy College,Ahmadabad,Gujarat
Ahmednagar College,,Maharashtra
Ahmednagar Zilla Maratha Vidya Prasarak Samaj's New Arts Commerce & Science College,,Maharashtra
AIMAN COLLEGE OF ARTS AND SCIENCE FOR WOMEN,Tiruchirappalli,Tamil Nadu
Aishwarya College of Education,Jodhpur,Rajasthan
Aishwarya College of Education Sansthan,Udaipur,Rajasthan
Aizawl Government College,Aizawl,Mizoram
Aizawl North College,Aizawl,Mizoram
Ajab Narayan Harish Chandra Smarak Mahavidyalaya,Pratapgarh,Uttar Pradesh
Ajara Mahavidyalaya,Kolhapur,Maharashtra
Ajay Binay Institute of Technology,Cuttack,Odisha
Ajay Pal Singh Degree College,Hardoi,Uttar Pradesh
Ajmer Sangeet College,Ajmer,Rajasthan
Akal College of Education for Women,,Punjab
Akal Degree College,Sangrur,Punjab
Akal Degree College For Women,Sangrur,Punjab
Akarapu Sharath Chandrika Devi Memorial College for Women,Warangal,Telangana
Akashdeep Teachers Tarining Girls College,Jaipur,Rajasthan
Akbar Peerbhoy College of Commerce & Economics,Mumbai,Maharashtra
Akbarpur Degree College,Kanpur Dehat,Uttar Pradesh
AKG College,Lucknow,Uttar Pradesh
Akhand Anand Arts and Commerce College,Surat,Gujarat
Akhil Bhartiya Sanskrit Hindi Vidyapeeth,Begusarai,Bihar
Akhilbhagya Degree College,Gorakhpur,Uttar Pradesh
Akhtari Qureshi Girls Degree College,Bijnor,Uttar Pradesh
Akkamahadevi Mahila Mahavidyalaya,Bidar,Karnataka
AKLR Govt. Oriental College,Hyderabad,Telangana
Akshara Institute of Management Studies,,Karnataka
Akshay Academy College,Indore,Madhya Pradesh
Akshaya College of Engineering and Technology,Coimbatore,Tamil Nadu
Akshyawat College,Vaishali,Bihar
Akui Kamalabala Women’s College,Bankura,West Bengal
Al Hafeez College,Bhojpur,Bihar
Al Jamia Arts and Science College,Malappuram,Kerala
Al Salama Institute of Architecture Dist. Malappuram - 679 338,Malappuram,Kerala
Al Shifa College of Arts and Science,Malappuram,Kerala
Al- Shifa College of Pharmacy,Malappuram,Kerala
Al-Ameen Arts Science & Commerce College,Bangalore,Karnataka
Al-Ameen College,,Kerala
Al-Ameen College of Education,Bangalore,Karnataka
Al-Ameen College of Law,Bangalore,Karnataka
Al-Ameen College of Pharmacy,Bangalore,Karnataka
Al-Ameen Engineering College,Erode,Tamil Nadu
Al-Ameen Institute of Information Sciences,Bangalore,Karnataka
Al-Ameen Institute of Management Studies,Bangalore,Karnataka
Al-Ameen Memorial Minority College,Kolkata,West Bengal
Al-Ameen Tippu Sultan Shaheed Degree College,Bangalore,Karnataka
Al-Azhar College of Arts and Science,Idukki,Kerala
Al-Azhar College of Pharmacy,Idukki,Kerala
Al-Azhar Dental College,Idukki,Kerala
Al-Azhar Law College,,Kerala
Al-Azhar Medical College & Super Specialty Hospital,,Kerala
Al-Azhar Training College,Idukki,Kerala
Al-Barkaat Institute of Education,Aligarh,Uttar Pradesh
Al-Habeeb Teacher’s Training College,Bokaro,Jharkhand
Al-Iqra Teacher’s Training College,Dhanbad,Jharkhand
Al-Noor College of Education,Kashmir,Jammu and Kashmir
Al-Shifa College of Nursing  Lemon Valley,Malappuram,Kerala
Al-Shifa College of Paramedical Science,Malappuram,Kerala
Alagappa Chettiar College of Engineering and Technology,,Tamil Nadu
Alagappa Government Arts College,Sivagangai,Tamil Nadu
Alagappa University College of Education,Pasumpon Thevar Thirumagan,Tamil Nadu
Alaka Mahavidyalaya,Jagatsinghapur,Odisha
Alankar Mahila P.G. Mahavidyalaya,Jaipur,Rajasthan
Albertian Institute of Science and Technology (AISAT),,Kerala
Aldel Education Trust’s St. John College of Engineering and Management,Palghar,Maharashtra
Aldel Education Trust’s St. John Institute of Pharmacy and Research,Palghar,Maharashtra
Alder College,Kohima,Nagaland
Alena Mahavidyalaya,Sultanpur,Uttar Pradesh
Alhaz Sunai Bibi Choudhury College,Nagaon,Assam
Aligarh College of Education,Aligarh,Uttar Pradesh
Aligarh College of Engineering & Management,Aligarh,Uttar Pradesh
Alipurduar College,Jalpaiguri,West Bengal
Alipurduar Mahila Mahavidyalaya,,West Bengal
All Ameen Haji Dada First Grade College of Arts Science & Commerce,Hassan,Karnataka
All Bengal Teachers' Training College,Kolkata,West Bengal
All India Institute of Speech & Hearing,Mysore,Karnataka
All India Shri Shivaji Memorial Society’s College of Engineering,Pune,Maharashtra
All India Shri Shivaji Memorial Society’s College of Hotel Management and Catering Technology,Pune,Maharashtra
All India Shri Shivaji Memorial Society’s College of Pharmacy,Pune,Maharashtra
All India Shri Shivaji Memorial Society’s Institute of Information Technology,Pune,Maharashtra
All Saints College,Thiruvananthapuram,Kerala
All-India Khilafat Committee College of Education,Mumbai,Maharashtra
Allahabad Degree College,Allahabad,Uttar Pradesh
Allama Iqbal College,Nalanda,Bihar
Almadina College of Education,Mahbubnagar,Telangana
Almighty Degree College,,Uttar Pradesh
Alok Vigyan Mahavidyalaya,Ajmer,Rajasthan
Alpha Arts and Science College,Chennai,Tamil Nadu
Alphonsa Arts and Science College,Wayanad,Kerala
Alphonsa College,Kottayam,Kerala
Alpine College of Education,,Uttar Pradesh
Alva’s College,,Karnataka
Alva’s Institute of Engineering and Technology,Dakshina Kannada,Karnataka
Alvi Girls Degree College,,Uttar Pradesh
Amal College of Advanced Studies,Malappuram,Kerala
Amal Jyothi College of Engineering,Kottayam,Kerala
Amar Bhartiya Mahavidyalaya,Gwalior,Madhya Pradesh
Amar Nath Girls Degree College,Mathura,Uttar Pradesh
Amar Shaheed B.A.S.J.S. Memorial College,Rupnagar,Punjab
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy,ropar,Punjab
Amar Shaheed Kanchan Singh Mahavidyalaya,Fatehpur,Uttar Pradesh
Amar Shaheed Thakur Duriyav Singh Degree College,Fatehpur,Uttar Pradesh
Amar Shahid Rao Ram Baksh Singh Degree College,Unnao,Uttar Pradesh
Amar Singh College,Bulandshahr,Uttar Pradesh
Amar Singh Mahavidyalaya,Rae Bareli,Uttar Pradesh
Amar Singh Memorial Degree Collge,,Uttar Pradesh
Amar Singh Rajpoot Memorial Mahavidyalaya,Hamirpur,Uttar Pradesh
Amar Veerangana Rani Durgawati  Shaskiya Mahavidyalaya,Damoh,Madhya Pradesh
Amarawati Devi Mahavidhyalay,Gorakhpur,Uttar Pradesh
Amardeep College,Firozabad,Uttar Pradesh
Amardeep Singh Shergil Memorial College,Jalandhar,Punjab
Amareshwar Arts & Commerce College,Bidar,Karnataka
Amarjeet Singh Shiksha Smarak Mahila Mahavidyalaya,Mau,Uttar Pradesh
Amarnath Mishra P.G. College,Ballia,Uttar Pradesh
Amaryuti Satsang College,Deoghar,Jharkhand
Amba K.P.S.B.P. College of Education,Sant Kabir Nagar,Uttar Pradesh
Ambah Postgraduate College,Morena,Madhya Pradesh
Ambai Arts College,Tirunelveli,Tamil Nadu
Ambay College of Law,Ghaziabad,Uttar Pradesh
Ambay Girls Degree College,,Uttar Pradesh
Ambedkar College,North Tripura,Tripura
Ambedkar College of Arts & Science,Malappuram,Kerala
Ambedkar Degree College,Meerut,Uttar Pradesh
Ambegaon Taluka Vidya Vikas Mandal’s B. D. Kale Mahavidyalaya,Pune,Maharashtra
Ambika Prasad Degree College,Chandauli,Uttar Pradesh
Ambika Pratap Narain Post - Graduat College,Basti,Uttar Pradesh
Ambika Ram Devi Degree College,,Uttar Pradesh
Ambikabai Jadhav Mahila Mahavidyalaya,Thane,Maharashtra
Ambli Dodda Bharmappa First Grade College,Bellary,Karnataka
AMC Engineering College,Bangalore,Karnataka
AMC Group of Educational Institutions,Palakkad,Kerala
Amdanga Jugal Kishore Mahavidyalaya,North Twenty Four Parganas,West Bengal
Amdar Shashikant Shinde Mahavidyalaya,Satara,Maharashtra
Amer Maharaja College,Jaipur,Rajasthan
Amguri College,Sivaganga,Assam
Amir Hasan Sakur Ahmed College,Madhubani,Bihar
Amiruddaula Islamia Degree College,Lucknow,Uttar Pradesh
Amit Mahavidyalaya,Kushinagar,Uttar Pradesh
Amman College of Arts & Science,Dindigul,Tamil Nadu
Amogha Institute of Professional and Technical Education,Ghaziabad,Uttar Pradesh
Amolakchand Mahavidyalaya,Yavatmal,Maharashtra
Amolakchand Vidhi Mahavidyalaya,Yavatmal,Maharashtra
Amrat Kapadia Navjivan Women's College,Hyderabad,Telangana
Amrawati Devi Degree College,Pratapgarh,Uttar Pradesh
Amridula Islamia Degree College,Lucknow,Uttar Pradesh
Amrit Ganga Degree College,Allahabad,Uttar Pradesh
Amrit Lal Mahavidyalaya,Mahrajganj,Uttar Pradesh
Amrita Sai Institute of Science & Technology,Krishna,Andhra Pradesh
Amrita Singh Memorial Degree College,Aligarh,Uttar Pradesh
Amritsar Group of Colleges,Amritsar,Punjab
Amruta Institute of Engineering & Management Sciences,,Karnataka
Amruteshwar Arts Commerce & Science College,Pune,Maharashtra
Amrutvahini Sheti and Shikshan Vikas Sansthan’s Amrutvahini College of Engineering,Pune,Maharashtra
Amtunna Bano Mahila Mahavidyalaya,Kannauj,Uttar Pradesh
Anand Arts College,Anand,Gujarat
Anand Chandra College of Commerce,Jalpaiguri,West Bengal
Anand College of Education,Agra,Uttar Pradesh
Anand Commerce College,Anand,Gujarat
Anand Degree College,,Uttar Pradesh
Anand Education College,Anand,Gujarat
Anand Homowopathic Medical College and Research Institute,Anand,Gujarat
Anand Institute of Higher Technology,Kancheepuram,Tamil Nadu
Anand Law College,Anand,Gujarat
Anand Mahila Mahavidyalaya,Azamgarh,Uttar Pradesh
Anand Mercantile College of Science Management & Computer Technology,Anand,Gujarat
Anand Niketan College,Chandrapur,Maharashtra
Anand Niketan College of Agriculture,Chandrapur,Maharashtra
Anand Pharmacy College,Anand,Gujarat
Anand Vihar College for Women,Bhopal,Madhya Pradesh
Ananda Chandra College,Jalpaiguri,West Bengal
Ananda Chandra Training College,Jalpaiguri,West Bengal
Ananda College,Sivagangai,Tamil Nadu
Anandamohan College,Kolkata,West Bengal
Anandapur College,,Odisha
Anandi Devi Institute of Higher Education,Hatras,Uttar Pradesh
Anandi Janki Mahila Mahavidyalaya,Purnia,Bihar
Anandras Dhonde Alias Babaji Mahavidyalaya,Bid,Maharashtra
Anantha Lakshmi Institute of Technology and Sciences,Anantapur,Andhra Pradesh
Anantha Lakshmi Institute of Technology and Sciences,,Andhra Pradesh
Ananthacharya Indological Research Institute,Mumbai,Maharashtra
Anantrao Pawar College,Pune,Maharashtra
Anantrao Thopte Arts Science & Commerce College,Pune,Maharashtra
Anchal College,Bargarh,Odisha
Anchalik Kishan College,Bargarh,Odisha
Anchalik Sahayog Degree College,,Odisha
Anchalika Degree College,Ganjam,Odisha
Anchalika Degree Mahavidyalaya,Mayurbhanj,Odisha
Anchalika Degree Mahavidyalaya,Dhenkanal,Odisha
Anchalika Degree Mahavidyalaya,Ganjam,Odisha
Anchalika Mahavidyalaya,Mayurbhanj,Odisha
Anchalika Mahavidyalaya,,Odisha
Anchalika Mahavidyalaya+3,,Odisha
Anchalika Panchayat College,Jaipur,Odisha
Anchalika Science Degree College,Ganjam,Odisha
Andhra Bashabhi Vardhini Govt. College,Warangal,Telangana
Andhra Christian College,Guntur,Andhra Pradesh
Andhra Loyola College,Krishna,Andhra Pradesh
Andhra Loyola Institute of Engineering and Technology,Vijayawada,Andhra Pradesh
Andhra Luthern College for Education,Guntur,Andhra Pradesh
Andhra Mahila Sabha School of Informatics,Hyderabad,Telangana
Andhra Medical College,Visakhapatnam,Andhra Pradesh
Andhra Muslim College,Guntur,Andhra Pradesh
